Ba_cy_Ctsp,Genomic
Ba_cy_Cwat,Genomic
Ba_cy_Cysp,Genomic
Ba_cy_Dcir,Genomic
Ba_cy_Desp,Genomic
Ba_cy_Dsal,Genomic
Ba_cy_Fcon,Genomic
Ba_cy_Fdip,Genomic
Ba_cy_Fisp,Genomic
Ba_cy_Gher,Genomic
Ba_cy_Gkil,Genomic
Ba_cy_Glit,Genomic
Ba_cy_Glsp,Genomic
Ba_cy_Gspa,Genomic
Ba_cy_Gspb,Genomic
Ba_cy_Gspc,Genomic
Ba_cy_Gvio,Genomic
Ba_cy_Hhon,Genomic
Ba_cy_Hlsp,Genomic
Ba_cy_Hpsp,Genomic
Ba_cy_Hriv,Genomic
Ba_cy_Hspa,Genomic
Ba_cy_Hysp,Genomic
Ba_cy_Lcon,Genomic
Ba_cy_Lesp,Genomic
Ba_cy_Lisp,Genomic
Ba_cy_Lrob,Genomic
Ba_cy_Lspa,Genomic
Ba_cy_Maer,Genomic
Ba_cy_Mgla,Genomic
Ba_cy_Mlam,Genomic
Ba_cy_Mrep,Genomic
Ba_cy_Mspa,Genomic
Ba_cy_Mspb,Genomic
Ba_cy_Mspc,Genomic
Ba_cy_Mtes,Genomic
Ba_cy_Mysp,Genomic
Ba_cy_Nazo,Genomic
Ba_cy_Ncht,Genomic
Ba_cy_Nnod,Genomic
Ba_cy_Nosp,Genomic
Ba_cy_Npun,Genomic
Ba_cy_Nsph,Genomic
Ba_cy_Nspu,Genomic
Ba_cy_Ocjs,Genomic
Ba_cy_Ocmt,Genomic
Ba_cy_Onig,Genomic
Ba_cy_Ossp,Genomic
Ba_cy_Pbic,Genomic
Ba_cy_Phol,Genomic
Ba_cy_Phsp,Genomic
Ba_cy_Plsp,Genomic
Ba_cy_Ppri,Genomic
Ba_cy_Prma,Genomic
Ba_cy_Prsp,Genomic
Ba_cy_Prub,Genomic
Ba_cy_Pspa,Genomic
Ba_cy_Pspb,Genomic
Ba_cy_Pspc,Genomic
Ba_cy_Rint,Genomic
Ba_cy_Risp,Genomic
Ba_cy_Rlac,Genomic
Ba_cy_Rspa,Genomic
Ba_cy_Scya,Genomic
Ba_cy_Shof,Genomic
Ba_cy_Shop,Genomic
Ba_cy_Shou,Genomic
Ba_cy_Skis,Genomic
Ba_cy_Smaj,Genomic
Ba_cy_Smil,Genomic
Ba_cy_Sspa,Genomic
Ba_cy_Sspb,Genomic
Ba_cy_Sspc,Genomic
Ba_cy_Sspd,Genomic
Ba_cy_Ssph,Genomic
Ba_cy_Sspn,Genomic
Ba_cy_Sspo,Genomic
Ba_cy_Ssub,Genomic
Ba_cy_Stol,Genomic
Ba_cy_Stsp,Genomic
Ba_cy_Syel,Genomic
Ba_cy_Sysp,Genomic
Ba_cy_Tcam,Genomic
Ba_cy_Telo,Genomic
Ba_cy_Tery,Genomic
Ba_cy_Thsp,Genomic
Ba_cy_Tvar,Genomic
Ba_cy_Ufce,Genomic
Ba_cy_Xesp,Genomic
Ba_de_Dswu,Genomic
Ba_de_Mcer,Genomic
Ba_de_Mhyd,Genomic
Ba_de_Mrub,Genomic
Ba_de_Msil,Genomic
Ba_de_Opro,Genomic
Ba_de_Trad,Genomic
Ba_de_Tten,Genomic
Ba_de_Tthe,Genomic
Ba_df_Cnit,Genomic
Ba_df_Dace,Genomic
Ba_df_Ddes,Genomic
Ba_df_Fsin,Genomic
Ba_df_Gesp,Genomic
Ba_df_Msch,Genomic
Ba_di_Dthe,Genomic
Ba_di_Dtur,Genomic
Ba_el_Elsp,Genomic
Ba_el_Emin,Genomic
Ba_el_Epro,Genomic
Ba_el_Ersd,Genomic
Ba_el_Etri,Genomic
Ba_fb_Bbre,Genomic
Ba_fb_Epal,Genomic
Ba_fb_Esib,Genomic
Ba_fb_Gkau,Genomic
Ba_fb_Hhal,Genomic
Ba_fb_Ktus,Genomic
